air_quality_ranking,area_in_sq_mi,college_educated_in_percentage,days_with_unhealthy_air_quality,drinking_water_violation_points,energy_ranking,gdp_in_billion,industrial_toxins_lbs_per_sq_mi,median_income_in_dollar,overall_ranking,pollution_ranking,population,renewable_energy_usage_in_percentage,roads_in_poor_condition_in_percentage,state_name,transportation_ranking,water_quality_ranking
1,1545,41,125,1.75,46,59.306,349,34511,1,8,1059639,3.9,2.8,Rhode Island,50,19
41,57914,42,271,0.65,17,822.54,1943,34196,33,41,12802023,6.5,2.1,Illinois,24,4
34,52378,30,253,3.00,40,235.96,3331,25885,31,50,4684333,4.0,5.5,Louisiana,45,28
35,32020,38,257,0.67,23,221.69,1096,27909,29,32,5024369,9.0,0.7,South Carolina,35,5
17,83569,36,186,8.65,11,72.294,435,26386,27,12,1716943,7.0,3.9,Idaho,28,44
25,268596,37,221,3.25,28,1645.136,777,29525,25,40,28304596,6.0,3.5,Texas,47,30
26,53179,31,223,2.76,22,122.704,615,25316,23,23,3004279,1.8,7.4,Arkansas,27,25
28,65758,40,230,0.76,20,976.386,1098,29838,21,26,20984400,6.9,7.1,Florida,7,6
20,46054,40,196,5.52,30,756.269,1161,32711,19,39,12805537,5.6,8.9,Pennsylvania,48,40
23,71298,46,208,2.05,2,524.323,475,36975,17,21,7405743,5.3,7.6,Washington,12,22
22,163695,41,207,1.38,39,2797.601,165,35046,15,9,39536653,3.4,7.7,California,41,13
21,42144,35,202,0.42,29,349.569,1996,28764,13,43,6715984,7.5,4.6,Tennessee,8,3
9,77116,39,171,4.37,3,49.813,85,29611,11,3,869666,7.0,8.9,South Dakota,33,37
18,42775,47,188,1.50,43,510.586,873,37442,9,34,8470020,6.9,7.7,Virginia,19,15
7,65496,41,168,3.39,15,321.373,558,31998,7,29,5795483,0.2,7.9,Wisconsin,32,31
11,8723,46,175,1.59,37,602.069,1488,40567,5,31,9005644,3.9,6.5,New Jersey,38,16
47,35380,42,282,11.23,12,61.703,385,31088,50,10,1335907,6.3,3.7,Maine,42,47
5,665384,38,160,26.97,48,51.479,2058,34222,48,35,739795,3.2,6.5,Alaska,21,50
50,2489,39,305,2.02,34,72.461,2534,33887,46,46,961939,2.8,1.0,Delaware,3,21
46,104094,49,280,2.26,14,345.233,306,36345,44,20,5607154,0.3,4.8,Colorado,20,23
44,53819,41,273,2.30,31,540.497,1072,29560,42,28,10273419,8.7,8.3,North Carolina,29,24
33,77348,42,252,4.84,7,119.588,215,30915,40,14,1920076,8.6,6.9,Nebraska,25,38
39,70698,44,269,1.99,5,52.527,465,34041,38,16,755393,1.4,6.6,North Dakota,13,20
43,54555,45,272,1.35,41,1606.601,271,37156,36,6,19849399,1.7,3.2,New York,16,12
15,147040,41,186,13.70,6,47.079,271,29428,34,7,1050493,1.0,8.0,Montana,9,49
37,110572,33,264,1.69,8,158.302,3623,30166,32,47,2998039,4.4,9.2,Nevada,1,18
27,97813,38,226,6.51,25,38.037,207,30883,30,5,579315,0.8,5.8,Wyoming,6,41
32,44826,37,251,1.25,38,645.747,2728,30038,28,45,11658609,3.9,0.5,Ohio,14,11
31,10932,44,243,0.09,50,88.448,477,33882,26,13,1427538,1.1,6.9,Hawaii,31,1
4,9616,47,158,12.58,33,32.545,44,32443,24,2,623657,4.0,0.6,Vermont,17,48
29,52420,34,234,0.21,18,211.197,1526,26498,22,37,4874747,3.2,8.3,Alabama,26,2
6,24230,27,165,10.39,49,74.047,1254,24478,20,42,1815857,6.7,8.6,West Virginia,49,46
16,9349,47,186,7.00,36,81.65,34,38237,18,1,1342795,9.0,6.0,New Hampshire,44,42
24,59425,39,214,0.86,19,563.608,835,29668,16,30,10429379,0.6,3.5,Georgia,18,7
19,96714,39,193,2.98,44,508.905,1640,30488,14,38,9962311,7.6,4.2,Michigan,34,27
12,5543,47,178,3.87,47,264.51,344,42029,12,18,3588184,6.1,9.8,Connecticut,37,35
13,82278,43,180,3.03,16,159.108,214,30146,10,24,2913123,6.0,0.8,Kansas,11,29
10,69707,37,173,3.67,27,303.763,807,29438,8,27,6113532,5.1,4.0,Missouri,36,32
14,86936,47,181,1.41,10,350.179,289,36156,6,11,5576606,5.0,9.2,Minnesota,4,14
2,98379,43,146,5.18,1,227.155,186,31950,4,44,4142776,7.7,7.5,Oregon,5,39
3,40408,32,149,1.11,26,202.175,1246,26779,2,36,4454189,5.3,6.2,Kentucky,15,10
48,69899,34,293,9.24,9,188.632,439,26472,49,19,3930864,5.6,9.0,Oklahoma,43,45
49,84897,44,304,4.11,24,164.917,3700,28085,47,48,3101833,5.4,4.4,Utah,2,36
45,113990,38,274,3.70,13,326.446,683,29420,45,22,7016270,0.8,2.0,Arizona,10,33
30,121590,36,237,7.80,21,94.211,147,25311,43,4,2088070,8.7,0.5,New Mexico,30,43
38,56273,41,266,2.79,4,183.93,613,30865,41,25,3145711,8.7,9.4,Iowa,39,26
36,36420,36,259,3.80,35,352.273,3521,28323,39,49,6666818,6.0,8.2,Indiana,23,34
40,12406,47,271,1.60,32,399.538,510,39960,37,15,6052177,5.5,1.3,Maryland,22,17
42,10554,51,272,0.89,45,542.979,560,41821,35,17,6859819,6.2,1.8,Massachusetts,40,8
8,48432,32,168,0.94,42,109.375,1406,23121,3,33,2984100,6.4,7.9,Mississippi,46,9
